Date,Strategy,Campaign,Strategy Type,Seller,Impressions,Clicks, Spend,Sales,Quotes,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,PubMatic,10,0,$0.02 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Google AdExchange,6859,0,$7.50 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Microsoft Advertising Exchange,74,0,$0.10 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Technorati Media,7,0,$0.01 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Ybrant Digital,5,0,$0.01 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,OpenX,13316,5,$19.72 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Rubicon,3421,1,$4.77 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Unanimis Consulting Limited,3,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,TLV Media Online Ltd,6,0,$0.01 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,AdExtent,2,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Yellowhammer Media Group Inc.,7,0,$0.01 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Global Digital Markets (Ve Interactive),2,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Admetrics Media Ltd,7,0,$0.01 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,OnScroll Limited,3,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Switch Concepts Limited,64,0,$0.10 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,AOL Marketplace,53,0,$0.07 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,"PulsePoint, Inc.",36,0,$0.05 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Improve Digital,7,0,$0.01 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,bRealTime (select),10,0,$0.02 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Sovrn,1,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Adtegrity,2,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Lifestreet,1,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Criteo,1,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,The Publisher Trading Desk Ltd.,2,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Admeta AB,1,0,$0.00 ,0,1,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Defy Media,9,0,$0.01 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,District M,11,0,$0.01 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Protein UK Limited,1,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Dakine Media LLC,4,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,"Green Light Media, Inc",3,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Programmatic s.r.o.,1,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,24/7 Media France,2,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,MonPar B.V.,7,0,$0.01 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Brightcom Media,2,0,$0.00 ,0,1,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,AD2ONE LTD,2,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Metric Science,3,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,The Blogger Network,4,0,$0.01 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Yamaka Media Group Ltd,1,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Kyston,50,0,$0.01 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Auto Trader Limited,32,0,$0.06 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Adshoard Premium,1,0,$0.00 ,0,0,
1-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,33Across Real Display,1,0,$0.00 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,PubMatic,2,0,$0.00 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Google AdExchange,4240,2,$5.36 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Microsoft Advertising Exchange,50,0,$0.08 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Technorati Media,11,0,$0.01 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Ybrant Digital,2,0,$0.00 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,OpenX,4482,1,$6.73 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Rubicon,2304,0,$3.41 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Unanimis Consulting Limited,1,0,$0.00 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,AdExtent,2,0,$0.00 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Yellowhammer Media Group Inc.,5,0,$0.01 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Global Digital Markets (Ve Interactive),1,0,$0.00 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,CrimTan,4,0,$0.01 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,OnScroll Limited,2,0,$0.00 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Switch Concepts Limited,49,0,$0.08 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,AOL Marketplace,35,0,$0.04 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,"PulsePoint, Inc.",42,0,$0.07 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Improve Digital,2,0,$0.00 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,bRealTime (select),8,0,$0.01 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Sovrn,7,0,$0.01 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Adtegrity,2,0,$0.00 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Criteo,3,0,$0.00 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,UnderDog Media,1,0,$0.00 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Defy Media,5,0,$0.00 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Bandsintown Amplified,1,0,$0.00 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,District M,8,0,$0.01 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Adperium BV - Performance,3,0,$0.00 ,0,0,
2-6-2015,Audience - Cautious Homeowners,Prospecting,Audience,Protein UK Limited,1,0,$0.00 ,0,0,
